Age;Education;Marital_Status;Income;Children;users_day;Costs;AcceptedCmp;Purchase;O
64;Graduation;Single;58138;0;3507;1617;1;22;2
67;Graduation;Single;46344;2;2661;27;0;4;2
56;Graduation;relationship;71613;0;3008;776;0;20;2
37;Graduation;relationship;26646;1;2601;53;0;6;1
40;PhD;relationship;58293;1;2857;422;0;14;2
54;Master;relationship;62513;1;2989;716;0;20;1
50;Graduation;Single;55635;1;3289;590;0;17;1
36;PhD;relationship;33454;1;3024;169;0;8;2
47;PhD;relationship;30351;1;3084;46;1;5;2
71;PhD;relationship;5648;2;2804;49;1;1;2
38;Graduation;relationship;52247.25135;1;2922;19;0;3;1
45;Bachelor;relationship;7500;0;3289;61;0;5;2
62;Graduation;Single;63033;0;2922;1102;0;15;1
69;Master;Single;59354;2;2922;310;0;12;1
34;Graduation;relationship;17323;0;3323;46;0;4;1
75;PhD;Single;82800;0;3278;1315;3;25;2
41;Graduation;relationship;41850;2;3248;96;0;6;1
75;Graduation;relationship;37760;0;3363;317;0;11;1
72;Master;relationship;76995;1;3154;1782;1;24;1
36;Bachelor;Single;33812;1;3536;133;0;6;2
39;Graduation;relationship;37040;0;3386;316;0;11;1
42;Graduation;relationship;2447;1;3089;1730;0;28;1
72;PhD;relationship;58607;1;3249;972;1;14;2
67;PhD;relationship;65324;1;2571;544;0;17;2
70;Graduation;relationship;40689;1;3164;444;0;13;1
52;Graduation;Single;18589;0;3209;75;0;6;1
45;Graduation;relationship;53359;2;3094;257;0;10;1
35;Graduation;Single;52247.25135;1;3190;637;0;27;1
32;Graduation;relationship;38360;1;3090;131;0;7;1
56;PhD;relationship;84618;0;2915;1672;1;25;2
32;Master;Single;10979;0;2734;30;0;6;1
58;Master;relationship;38620;0;2932;318;0;10;1
51;Graduation;relationship;40548;1;3323;120;1;7;1
69;PhD;Single;46610;2;3304;302;1;11;2
75;Master;relationship;68657;0;3190;1196;0;17;1
70;Master;Single;49389;2;3000;65;0;5;1
51;PhD;relationship;67353;1;2876;913;0;23;2
45;Bachelor;relationship;23718;1;3201;81;0;6;2
48;Graduation;Single;42429;1;2570;67;0;5;1
78;PhD;Single;48948;0;3239;902;2;22;2
41;Graduation;relationship;80011;1;3122;1395;0;19;1
36;Master;relationship;20559;1;2904;53;0;5;1
64;Graduation;relationship;21994;1;3248;22;0;3;1
62;PhD;Single;52247.25135;0;3110;186;0;8;2
46;Master;relationship;7500;1;3200;31;0;5;1
45;Graduation;Single;79941;0;2697;984;0;15;1
25;Bachelor;relationship;7500;0;3352;122;1;7;2
53;Graduation;relationship;41728;1;3097;55;0;4;1
70;Graduation;Single;52247.25135;3;2875;124;0;7;1
67;PhD;relationship;72550;2;3383;1319;0;19;2
64;Graduation;Single;65486;1;2537;507;0;16;1
57;Master;relationship;79143;0;3294;1693;0;28;1
44;Graduation;Single;35790;1;3209;72;0;5;1
44;Graduation;Single;82582;0;2689;1617;3;20;1
43;Graduation;relationship;66373;2;2901;606;0;16;1
66;Master;relationship;82384;0;3283;1957;2;26;1
55;Graduation;Single;70287;0;3206;1093;1;20;1
33;Graduation;Single;27938;1;2758;29;0;5;1
39;Graduation;Single;52247.25135;1;3073;46;0;5;1
53;PhD;relationship;55954;1;2814;518;0;16;2
39;Master;Single;75777;0;3144;1438;3;20;1
46;Graduation;relationship;66653;2;3416;612;0;18;1
69;Graduation;Single;61823;1;3192;884;0;20;1
70;PhD;Single;67680;1;2931;606;0;18;2
73;Graduation;relationship;70666;0;3078;1076;0;15;1
50;Graduation;relationship;25721;1;3100;34;1;4;1
54;Graduation;relationship;32474;2;2567;11;0;3;1
42;Bachelor;Single;88194;1;2798;1274;3;31;2
63;Graduation;relationship;69096;1;2971;653;0;17;1
51;Graduation;relationship;74854;3;3025;1562;0;12;1
67;Master;relationship;66991;0;3293;1253;0;18;1
48;Bachelor;relationship;52247.25135;1;3349;109;0;6;2
62;Graduation;relationship;65031;1;3165;863;0;26;1
46;PhD;relationship;60631;2;3117;661;1;19;2
69;Graduation;relationship;28332;0;2756;65;0;7;1
44;Graduation;Single;40246;1;3253;13;0;3;1
49;Master;relationship;75251;0;3367;1890;1;18;1
45;Graduation;Single;75825;0;3262;2209;2;22;1
45;Bachelor;relationship;26326;0;3142;18;0;3;2
56;Graduation;relationship;56046;0;3209;692;2;19;1
36;Graduation;Single;29760;1;3365;165;0;8;1
52;Graduation;relationship;26304;1;3067;16;0;3;1
48;Bachelor;relationship;23559;1;3175;79;0;6;2
58;Master;relationship;38620;0;2932;318;0;10;1
34;Graduation;Single;81361;0;2820;778;0;26;1
61;Graduation;relationship;29440;2;2929;56;0;5;1
51;Master;relationship;36138;2;3044;151;1;8;1
64;Graduation;Single;50388;1;2728;372;3;13;1
48;Graduation;relationship;79593;0;2537;1366;1;18;1
54;Graduation;relationship;54178;1;2855;194;0;9;1
64;PhD;relationship;52247.25135;3;3283;603;0;17;2
64;Graduation;Single;52247.25135;2;2729;18;0;3;1
48;Master;relationship;52247.25135;0;2914;985;0;14;1
49;Master;Single;42394;1;2794;32;0;4;1
51;PhD;relationship;23626;1;2732;43;0;7;2
38;Graduation;relationship;30096;1;2734;45;0;5;1
61;Graduation;Single;47916;1;3280;606;1;17;1
49;Graduation;Single;51813;2;2933;63;0;5;1
70;Bachelor;relationship;78497;0;3229;978;1;24;2
38;PhD;relationship;50150;0;3070;410;0;14;2
61;Bachelor;Single;47823;1;3037;72;0;5;2
62;PhD;Single;34554;1;2787;55;0;5;2
42;Graduation;relationship;85693;1;3131;1169;0;25;1
76;PhD;relationship;65846;0;3104;1120;0;15;2
62;Graduation;relationship;87195;0;2659;1097;1;19;1
42;Bachelor;relationship;24594;1;2956;29;0;4;2
57;Graduation;relationship;49096;2;2974;187;0;9;1
52;Graduation;relationship;52413;2;3208;910;0;22;1
43;Graduation;Single;38557;1;3253;145;0;7;1
61;Master;relationship;89058;0;3413;850;0;13;1
42;Graduation;relationship;77298;1;3199;969;0;23;1
30;PhD;Single;68126;0;3322;1820;2;16;2
58;Master;relationship;57288;1;2700;608;1;17;1
30;Graduation;Single;86037;0;3209;730;3;24;1
41;PhD;relationship;43974;1;3260;551;0;16;2
59;Graduation;Single;50785;2;2959;114;0;6;1
51;Graduation;relationship;90765;0;2852;1724;2;15;1
43;Bachelor;relationship;36550;1;3191;577;0;15;2
54;Bachelor;relationship;30753;2;2930;81;0;5;2
52;Graduation;relationship;21918;1;2923;33;0;5;1
68;Master;relationship;56129;1;3070;660;0;18;1
54;Master;Single;32557;1;2821;80;1;6;1
36;Master;relationship;19510;2;3142;30;0;4;1
45;Graduation;Single;30992;1;3129;43;0;4;1
38;Graduation;Single;101970;0;2904;1135;4;27;1
56;Bachelor;relationship;71488;0;3192;559;0;14;2
37;Graduation;Single;79607;0;3130;1923;1;15;1
68;Master;relationship;54348;2;2658;90;0;6;1
60;PhD;relationship;52247.25135;1;2930;404;0;14;2
65;PhD;relationship;77376;2;2598;661;0;19;2
69;Graduation;relationship;62998;1;2968;463;0;14;1
63;Master;Single;61331;2;2965;632;0;18;1
52;Graduation;relationship;73448;0;2601;725;0;18;1
58;Graduation;relationship;52247.25135;1;2929;725;0;18;1
57;PhD;relationship;41551;2;3015;279;0;11;2
54;PhD;relationship;62981;0;3165;1482;1;22;2
45;Bachelor;Single;9548;1;3386;29;0;4;2
62;PhD;relationship;33762;3;3053;106;0;6;2
48;PhD;Single;35860;2;2737;49;2;4;2
56;PhD;Single;36921;2;3032;38;0;5;2
29;Master;Single;92859;0;3314;2077;0;21;1
45;Master;relationship;65104;1;2923;1053;1;15;1
59;Graduation;relationship;86111;0;3132;1385;0;22;1
47;PhD;Single;68352;1;3001;871;0;22;2
33;Graduation;relationship;41883;1;3163;312;0;9;1
45;Graduation;relationship;59809;2;3315;877;0;12;1
46;Graduation;relationship;23957;1;3305;68;1;5;1
40;Graduation;relationship;38547;1;3001;22;0;3;1
48;Bachelor;relationship;35688;3;3372;211;0;9;2
55;Master;relationship;49605;0;2704;127;0;7;1
68;Master;relationship;59354;2;2762;459;0;15;1
52;Graduation;relationship;65747;1;2692;460;1;15;1
49;Bachelor;relationship;46344;1;3258;429;0;13;2
33;Graduation;Single;34176;1;2537;89;0;7;1
69;PhD;relationship;61010;1;3353;1021;0;24;2
72;Graduation;relationship;69372;0;3191;1381;3;20;1
63;Graduation;Single;49967;1;3022;306;0;12;1
43;Graduation;Single;60199;3;2898;18;0;3;1
44;Graduation;relationship;55375;1;2951;162;0;8;1
66;Graduation;Single;80317;0;3009;1231;0;17;1
63;Master;Single;30523;3;3234;13;0;3;1
76;PhD;relationship;70356;0;3475;1706;0;25;2
37;Graduation;relationship;23228;1;2755;121;0;7;1
46;PhD;Single;74165;0;3236;1293;0;19;2
48;PhD;relationship;157243;1;2873;1608;0;22;2
55;Graduation;relationship;43482;3;2924;88;0;6;1
68;Graduation;Single;62551;0;2919;421;1;17;1
62;Graduation;Single;52332;0;3001;259;1;11;1
33;Graduation;Single;66951;0;3199;1117;0;14;1
64;Graduation;relationship;26091;2;2820;89;0;6;1
56;Graduation;relationship;33456;2;2765;36;0;4;1
39;Graduation;relationship;28718;1;3047;57;0;5;1
